text,username,followers,label,confidence,explanations
Click here to claim your click now!,user0888,9325,Fake,0.93,"click, claim"
Grateful for 10K followers!,user0889,6981,Real,0.98,
Click here to claim your claim now!,user0890,9601,Fake,0.9,"click, claim"
Click here to claim your reward now!,user0891,953,Fake,0.95,"reward, click, claim"
We just hit a milestone!,user0892,2816,Real,0.9,
Click here to claim your selected now!,user0893,9692,Fake,0.87,"selected, click, claim"
Thanks for all the support!,user0894,5452,Real,0.94,
Join us for the live event tomorrow.,user0895,6276,Real,0.88,
Thanks for all the support!,user0896,8354,Real,0.88,
We just hit a milestone!,user0897,828,Real,0.9,
Click here to claim your cash now!,user0898,5066,Fake,0.98,"cash, click, claim"
Join us for the live event tomorrow.,user0899,350,Real,0.95,
Click here to claim your iPhone now!,user0900,4063,Fake,0.98,"click, claim"
We just hit a milestone!,user0901,8963,Real,0.91,
Click here to claim your click now!,user0902,7775,Fake,0.97,"click, claim"
Excited to announce our new product.,user0903,3734,Real,0.87,
Thanks for all the support!,user0904,2876,Real,0.89,
Thanks for all the support!,user0905,2484,Real,0.9,
Join us for the live event tomorrow.,user0906,8572,Real,0.89,
Thanks for all the support!,user0907,9745,Real,0.91,
Click here to claim your cash now!,user0908,5845,Fake,0.94,"cash, click, claim"
Thanks for all the support!,user0909,4851,Real,0.92,
Click here to claim your reward now!,user0910,2473,Fake,0.86,"reward, click, claim"
Thanks for all the support!,user0911,2695,Real,0.88,
Excited to announce our new product.,user0912,7964,Real,0.9,
Click here to claim your cash now!,user0913,1854,Fake,0.97,"cash, click, claim"
Click here to claim your winner now!,user0914,5100,Fake,0.89,"winner, click, claim"
Click here to claim your prize now!,user0915,940,Fake,0.94,"prize, click, claim"
Click here to claim your iPhone now!,user0916,5747,Fake,0.98,"click, claim"
We just hit a milestone!,user0917,9779,Real,0.96,
Excited to announce our new product.,user0918,901,Real,0.99,
Click here to claim your winner now!,user0919,5475,Fake,0.86,"winner, click, claim"
Click here to claim your free now!,user0920,9486,Fake,0.89,"free, click, claim"
Click here to claim your congratulations now!,user0921,6932,Fake,0.96,"click, claim, congratulations"
Click here to claim your winner now!,user0922,9083,Fake,0.92,"winner, click, claim"
Thanks for all the support!,user0923,6324,Real,0.86,
Click here to claim your winner now!,user0924,3263,Fake,0.89,"winner, click, claim"
We just hit a milestone!,user0925,1476,Real,0.98,
Click here to claim your winner now!,user0926,1170,Fake,0.95,"winner, click, claim"
Click here to claim your iPhone now!,user0927,6104,Fake,0.92,"click, claim"
Click here to claim your winner now!,user0928,1620,Fake,0.98,"winner, click, claim"
Click here to claim your cash now!,user0929,7430,Fake,0.89,"cash, click, claim"
We just hit a milestone!,user0930,3963,Real,0.97,
Click here to claim your iPhone now!,user0931,7971,Fake,0.98,"click, claim"
Click here to claim your free now!,user0932,416,Fake,0.87,"free, click, claim"
Click here to claim your click now!,user0933,7634,Fake,0.98,"click, claim"
Join us for the live event tomorrow.,user0934,6235,Real,0.98,
Join us for the live event tomorrow.,user0935,3379,Real,0.93,
Grateful for 10K followers!,user0936,701,Real,0.86,
Thanks for all the support!,user0937,2521,Real,0.98,
We just hit a milestone!,user0938,6678,Real,0.9,
Excited to announce our new product.,user0939,2448,Real,0.87,
Click here to claim your claim now!,user0940,8357,Fake,0.93,"click, claim"
Click here to claim your reward now!,user0941,2865,Fake,0.88,"reward, click, claim"
Join us for the live event tomorrow.,user0942,6424,Real,0.88,
Click here to claim your iPhone now!,user0943,8172,Fake,0.98,"click, claim"
Click here to claim your prize now!,user0944,6323,Fake,0.87,"prize, click, claim"
Thanks for all the support!,user0945,8998,Real,0.88,
Click here to claim your iPhone now!,user0946,1094,Fake,0.91,"click, claim"
Click here to claim your winner now!,user0947,9699,Fake,0.89,"winner, click, claim"
Click here to claim your iPhone now!,user0948,8752,Fake,0.97,"click, claim"
Click here to claim your cash now!,user0949,5990,Fake,0.88,"cash, click, claim"
Click here to claim your cash now!,user0950,5432,Fake,0.98,"cash, click, claim"
We just hit a milestone!,user0951,672,Real,0.98,
We just hit a milestone!,user0952,528,Real,0.94,
Click here to claim your iPhone now!,user0953,2871,Fake,0.86,"click, claim"
We just hit a milestone!,user0954,3924,Real,0.96,
Excited to announce our new product.,user0955,4256,Real,0.97,
Click here to claim your reward now!,user0956,9883,Fake,0.88,"reward, click, claim"
Click here to claim your congratulations now!,user0957,1536,Fake,0.94,"click, claim, congratulations"
Click here to claim your click now!,user0958,7329,Fake,0.9,"click, claim"
We just hit a milestone!,user0959,9203,Real,0.95,
Click here to claim your reward now!,user0960,5625,Fake,0.91,"reward, click, claim"
Click here to claim your claim now!,user0961,4604,Fake,0.88,"click, claim"
Click here to claim your iPhone now!,user0962,6366,Fake,0.96,"click, claim"
We just hit a milestone!,user0963,6232,Real,0.97,
Grateful for 10K followers!,user0964,9572,Real,0.91,
Click here to claim your congratulations now!,user0965,1446,Fake,0.91,"click, claim, congratulations"
Click here to claim your free now!,user0966,1739,Fake,0.93,"free, click, claim"
Thanks for all the support!,user0967,1958,Real,0.89,
Click here to claim your iPhone now!,user0968,889,Fake,0.96,"click, claim"
Thanks for all the support!,user0969,2977,Real,0.91,
Click here to claim your reward now!,user0970,6704,Fake,0.88,"reward, click, claim"
Click here to claim your reward now!,user0971,3279,Fake,0.88,"reward, click, claim"
We just hit a milestone!,user0972,279,Real,0.96,
Click here to claim your reward now!,user0973,871,Fake,0.95,"reward, click, claim"
Click here to claim your reward now!,user0974,2053,Fake,0.99,"reward, click, claim"
We just hit a milestone!,user0975,9480,Real,0.97,
Click here to claim your winner now!,user0976,2720,Fake,0.89,"winner, click, claim"
Click here to claim your cash now!,user0977,6836,Fake,0.93,"cash, click, claim"
Click here to claim your free now!,user0978,3914,Fake,0.92,"free, click, claim"
Click here to claim your cash now!,user0979,9462,Fake,0.98,"cash, click, claim"
Join us for the live event tomorrow.,user0980,8813,Real,0.87,
Excited to announce our new product.,user0981,1339,Real,0.99,
Join us for the live event tomorrow.,user0982,2928,Real,0.96,
Click here to claim your claim now!,user0983,24,Fake,0.99,"click, claim"
Click here to claim your winner now!,user0984,4356,Fake,0.91,"winner, click, claim"
Excited to announce our new product.,user0985,1286,Real,0.94,
Join us for the live event tomorrow.,user0986,7633,Real,0.89,
Click here to claim your winner now!,user0987,3044,Fake,0.89,"winner, click, claim"
Thanks for all the support!,user0988,7494,Real,0.92,
Click here to claim your claim now!,user0989,2341,Fake,0.87,"click, claim"
Click here to claim your free now!,user0990,4156,Fake,0.92,"free, click, claim"
Grateful for 10K followers!,user0991,2649,Real,0.86,
Join us for the live event tomorrow.,user0992,343,Real,0.95,
Click here to claim your prize now!,user0993,5342,Fake,0.92,"prize, click, claim"
Click here to claim your click now!,user0994,352,Fake,0.94,"click, claim"
Join us for the live event tomorrow.,user0995,7208,Real,0.93,
Grateful for 10K followers!,user0996,717,Real,0.99,
Click here to claim your reward now!,user0997,421,Fake,0.88,"reward, click, claim"
Click here to claim your cash now!,user0998,9473,Fake,0.93,"cash, click, claim"
Click here to claim your selected now!,user0999,1649,Fake,0.89,"selected, click, claim"
